Designator,Manufacturer Part Number,Quantity,OPL SKU
"C1,C4,C5,C6,C7,C8,C9,C10",CC0603KRX7R9BB104,8,302010138
"C2, C3",250R05L200JV4T,2,
C11,CC0603KRX5R6BB475,1,302010111
C12,CC0603KRX5R6BB106,1,302010103
R1 ,RC0603JR-07220RL ,1,301010163
"R2,R4",RC0603FR-07510RL,2,301010215
"R3, R10",RC0603JR-070RL,2,301010292
"R5,R6",RC0603JR-07100KL,2,301010089
"R7,R8",RC0603JR-073K9L,2,301010101
R9,RC0603FR-071KL,1,301010298
R11,RC0603FR-0710KL,1,301010299
R12,RC0603JR-0747KL,1,301010084
D1,17-215SYGC/S530-E2/TR8,1,304090057
D2,17-215SURC/S530-A2/TR8,1,304090046
U1,ST;STM32F401RET6,1,310010495
"U2, U3",SN74HCT245PWR,2,
U4,CAT24C32WI-GT3,1,
U5,DMMT5401-7-F,1,
Y1,HC49/US-11.35X4.65X3.6,1,306010080
Q1,DMG2305UX-7,1,
SW1,SKQGADE010,1,311020017
J6,GS012S-3.5-02P-11,1,320110028
