"#","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","6","1175-1611-ND","3020-16-0100-00","IDC BOX HEADER .100"" 16POS","","0","0.89000","5.34"
"2","3","1528-1785-ND","2222","GPIO FEMALE HEADER RASPBERRY PI","","0","2.30000","6.90"
"3","3","296-21913-1-ND","TS3A24159DGSR","IC SWITCH DUAL SPDT 10MSOP","","0","1.64000","4.92"
"4","6","296-8404-1-ND","SN74HCT245PWR","IC BUS TRANSCEIVER 8BIT 20TSSOP","","0","0.72000","4.32"
"5","10","497-3707-1-ND","BAT60JFILM","DIODE SCHOTTKY 10V 3A SOD323","","0","0.49000","4.90"
"6","3","CAT24C32WI-GT3CT-ND","CAT24C32WI-GT3","IC EEPROM 32KBIT 400KHZ 8SOIC","","0","0.35000","1.05"
"7","3","CTX406-ND","ATS08A","CRYSTAL 8.0000MHZ 20PF T/H","","0","0.55000","1.65"
"8","3","497-11518-ND","STM32F103CBT7","IC MCU 32BIT 128KB FLASH 48LQFP","","0","11.32000","33.96"
"9","10","475-1410-1-ND","LG R971-KN-1","LED GREEN DIFFUSED 0805 SMD","","0","0.27600","2.76"
"10","10","475-1278-1-ND","LS R976-NR-1","LED RED DIFFUSED 0805 SMD","","0","0.29100","2.91"
